Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0.0,24,3,22,20,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,1,5,5,50,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,9,6,9,25,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,12,5,18,5,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,3,16,50,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,24,6,9,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,12,3,18,55,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1,3,8,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,12,3,8,55,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,27,5,11,25,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,6,9,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,4,20,20,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,6,11,40,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,9,5,21,10,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,24,4,17,15,50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,3,3,16,40,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,4,8,45,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1.0,12,6,14,0,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,12,6,20,15,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,27,5,16,0,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,6,3,14,10,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,21,3,22,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,3,4,4,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1,5,18,55,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,6,5,18,55,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,9,6,21,25,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,1,6,21,50,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,15,5,7,0,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,18,6,9,45,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.0,15,6,7,5,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0.0,18,6,7,5,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2.0,1,5,9,50,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,6,4,4,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
